disease,drug,relation,alpha_iii,beta_iii,post_mean_iii,n_eff_iii,alpha_ivvi,beta_ivvi,post_mean_ivvi,n_eff_ivvi,ceg
acrodermatitis enteropathica,zinc chloride,off-label use,5.3533,4.7485,0.5299,10.10,4.0493,3.4444,0.5404,7.49,nan
acrodermatitis enteropathica,zinc gluconate,off-label use,5.3533,4.7485,0.5299,10.10,4.0493,3.4444,0.5404,7.49,nan
acrodermatitis enteropathica,zinc sulfate,off-label use,5.3533,4.7485,0.5299,10.10,4.0493,3.4444,0.5404,7.49,nan
alopecia areata,triamcinolone,indication,8.7182,0.5000,0.9458,9.22,8.4826,0.5000,0.9443,8.98,nan
alopecia areata,anthralin,off-label use,4.9115,4.3067,0.5328,9.22,4.7937,4.1889,0.5337,8.98,nan
alopecia areata,methoxsalen,off-label use,4.9115,4.3067,0.5328,9.22,4.7937,4.1889,0.5337,8.98,nan
angioedema,alimemazine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,antazoline,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,azatadine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,bamipine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,betamethasone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,bilastine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,brompheniramine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,carbinoxamine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,chlorpheniramine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,clemastine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,cortisone acetate,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,cyproheptadine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,dexamethasone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,dexbrompheniramine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,dexchlorpheniramine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,diphenylpyraline,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,doxylamine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,emedastine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,hydrocortisone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,hydrocortisone acetate,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,hydroxyzine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,mepyramine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,methapyrilene,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,methdilazine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,methylprednisolone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,phenindamine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,pheniramine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,phenyltoloxamine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,prednisolone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,prednisone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,promazine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,promethazine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,rupatadine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,triamcinolone,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,tripelennamine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,triprolidine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
angioedema,astemizole,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
angioedema,cetirizine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
angioedema,cimetidine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
angioedema,fexofenadine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
angioedema,levocetirizine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
angioedema,loratadine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
angioedema,terfenadine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
basal cell carcinoma,sonidegib,indication,12.8603,0.5000,0.9626,13.36,10.5947,0.5000,0.9549,11.09,nan
basal cell carcinoma,vismodegib,indication,12.8603,0.5000,0.9626,13.36,10.5947,0.5000,0.9549,11.09,nan
bullous pemphigoid,betamethasone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,cortisone acetate,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,dapsone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,dexamethasone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,methylprednisolone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,prednisolone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,prednisone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,sulfapyridine,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
bullous pemphigoid,triamcinolone,off-label use,2.1048,1.5000,0.5839,3.60,2.2034,1.5986,0.5795,3.80,nan
contact dermatitis,amcinonide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,ammonium lactate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,benzoyl peroxide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,betamethasone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
