method,hits@1_overall,hits@5_overall,hits@10_overall,mrr_overall,ndcg@10_overall,hits@1_I-III,hits@5_I-III,hits@10_I-III,mrr_I-III,ndcg@10_I-III,hits@1_IV-VI,hits@5_IV-VI,hits@10_IV-VI,mrr_IV-VI,ndcg@10_IV-VI
Random,0.006±0.005,0.032±0.023,0.068±0.021,0.035±0.010,0.030±0.013,0.004±0.008,0.036±0.023,0.084±0.023,0.036±0.009,0.035±0.012,0.009±0.011,0.027±0.026,0.050±0.022,0.034±0.015,0.025±0.016
Popularity,0.017±0.011,0.128±0.022,0.215±0.020,0.081±0.010,0.099±0.013,0.028±0.020,0.160±0.039,0.284±0.034,0.106±0.018,0.132±0.024,0.005±0.009,0.091±0.037,0.136±0.024,0.053±0.015,0.062±0.017
Co-occurrence,0.164±0.019,0.460±0.041,0.560±0.014,0.293±0.022,0.353±0.020,0.172±0.020,0.496±0.034,0.600±0.018,0.312±0.014,0.376±0.013,0.155±0.026,0.418±0.054,0.514±0.018,0.272±0.035,0.326±0.031
JS-divergence,0.121±0.018,0.334±0.048,0.419±0.019,0.217±0.018,0.258±0.018,0.160±0.021,0.436±0.061,0.568±0.024,0.281±0.018,0.343±0.016,0.077±0.018,0.218±0.039,0.250±0.024,0.144±0.020,0.160±0.022
Network-proximity,0.011±0.007,0.106±0.022,0.168±0.020,0.070±0.004,0.079±0.007,0.004±0.008,0.092±0.034,0.136±0.038,0.062±0.008,0.063±0.015,0.018±0.009,0.123±0.033,0.205±0.047,0.080±0.017,0.097±0.023
DermaKG-IGR,0.006±0.005,0.068±0.013,0.138±0.013,0.061±0.003,0.061±0.005,0.012±0.010,0.068±0.010,0.140±0.012,0.070±0.005,0.065±0.004,0.000±0.000,0.068±0.024,0.136±0.020,0.052±0.007,0.057±0.010
DermaKG-Posterior,0.202±0.017,0.432±0.027,0.570±0.021,0.321±0.011,0.364±0.012,0.208±0.016,0.436±0.031,0.572±0.020,0.325±0.008,0.366±0.008,0.195±0.027,0.427±0.065,0.568±0.037,0.318±0.027,0.361±0.031
Co-occ+DermaKG,0.251±0.011,0.564±0.015,0.589±0.021,0.375±0.011,0.425±0.013,0.248±0.010,0.596±0.023,0.644±0.040,0.386±0.010,0.447±0.017,0.255±0.017,0.527±0.026,0.527±0.026,0.363±0.023,0.401±0.024
TransE,0.038±0.008,0.057±0.019,0.074±0.027,0.063±0.011,0.053±0.015,0.048±0.010,0.060±0.012,0.084±0.015,0.072±0.008,0.061±0.008,0.027±0.009,0.055±0.030,0.064±0.043,0.052±0.016,0.044±0.023
DistMult,0.034±0.004,0.047±0.008,0.064±0.007,0.056±0.005,0.047±0.004,0.040±0.000,0.048±0.010,0.064±0.008,0.060±0.004,0.050±0.005,0.027±0.009,0.045±0.014,0.064±0.017,0.052±0.008,0.044±0.007
ComplEx,0.043±0.009,0.057±0.011,0.085±0.020,0.067±0.011,0.059±0.013,0.052±0.010,0.064±0.019,0.092±0.036,0.077±0.015,0.068±0.021,0.032±0.011,0.050±0.017,0.077±0.018,0.055±0.011,0.049±0.012
RotatE,0.032±0.000,0.060±0.016,0.128±0.009,0.068±0.003,0.067±0.003,0.040±0.000,0.076±0.023,0.156±0.015,0.082±0.005,0.083±0.005,0.023±0.000,0.041±0.009,0.095±0.009,0.051±0.003,0.049±0.003
